"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342196038,"V* AU Mic",9.724835771835904,"PACS70","70",0.238761,0.0180944,26.2077,311.2906615805368,-31.3419425346869
1342211953,"* alf PsA",7.7035667514059005,"PACS70","70",10.7099,0.321738,17.1842,344.41384896195717,-29.62274018832774
1342216123,"* eps Eri",3.216054544285071,"PACS70","70",1.82039,0.192206,15.3604,53.229597945210735,-9.458197753750715
1342186612,"* bet Pic",19.44012441679627,"PACS70","70",15.4138,0.0299687,17.6518,86.82121909296123,-51.06628252028198
1342188372,"EXO 0235.2-5216",38.84656771150985,"PACS70","70",0.001208,0.001208,0.522773,39.21588783957663,-52.05100123055554
1342190345,"HD 285778",120.07829104576184,"PACS70","70",0.000498873,0.000376044,1.93088,66.79404452213085,17.845144448102737
1342190346,"HBC 392",140.21705600269217,"PACS70","70",0.000158921,0.000158921,1.45538,67.8632645150932,17.10681069124866
1342191014,"2MASS J03542950+3203013",291.0022116168083,"PACS70","70",0.000163827,0.000163827,2.46975,58.62295270611603,32.05036899319436
1342191015,"2MASS J03543556+2537111",277.9939953297009,"PACS70","70",0.0000337351,0.0000337351,-0.930368,58.64816633724795,25.619749103750078
1342191016,"2MASS J04035084+2610531",129.01727541317783,"PACS70","70",0.000195649,0.000195649,-1.05204,60.961889765641104,26.181308703935056
1342191017,"V* V679 Tau",450.28818443804033,"PACS70","70",0.00023358,0.00023358,1.78783,58.00935407419711,24.663130145181565
1342191018,"2MASS J04053087+2151106",125.9636217060513,"PACS70","70",0.000130073,0.000130073,2.4671,61.378696555442076,21.852910300370436
1342193139,"2MASS J05061674+2446102",191.6590003066544,"PACS70","70",0.000189299,0.000189299,1.46069,76.56980915284403,24.769438726109115
1342196104,"V* AT Mic",10.695187165775401,"PACS70","70",0.0175676,0.0175676,-1.52872,310.46409073604343,-32.43628796038803
1342217466,"Haro 6-37",,"PACS100","100",0.300602,0.00188023,39.4127,71.74568757062048,17.043763232504766
1342217490,"V* DP Tau",,"PACS100","100",0.346158,0.00250942,35.712,70.65709323285465,25.2602310724994
1342217512,"V* V397 Aur",148.59945018203433,"PACS70","70",0.00427433,0.000274942,3.54019,74.00846268594262,30.35094179000162
1342217518,"V* DS Tau",159.0710252127575,"PACS100","100",0.0153015,0.000686034,36.3999,71.95249928250264,29.419698906251146
1342217520,"2MASS J04411681+2840000",170.54660185895796,"PACS100","100",0.0288511,0.000389634,38.5577,70.32005899059725,28.666618040623042
1342223864,"BD+30 397B",40.90146836271422,"PACS100","100",0.000452374,0.000452374,1.59565,36.8672072392953,30.97764134877472
1342228443,"V* AB Aur",162.86644951140067,"PACS70","70",3.67376,0.00459951,38.6278,73.94103986969307,30.551113881112702
1342225104,"2MASS J15192689-0743200",6.299244342648656,"PACS70","70",0.0152411,0.0076028,7.50222,229.85776639535686,-7.722602453703703
1342233625,"HD 142",25.713551041398816,"PACS70","70",0.013436,0.013436,-5.72532,1.5828250477552988,-49.07531999332876
1342248726,"HD 121191",132.10737687592476,"PACS70","70",0.239503,0.000673119,35.8865,208.82851460501985,-53.528600687363294
1342224186,"HD 100764",301.22296523886985,"PACS100","100",1.04349,0.0070782,39.6046,173.92812819390895,-14.593570251640916
1342211789,"HD 200391",50.78230135233268,"PACS70","70",0.00434469,0.00434469,-0.0222648,315.6082466011685,27.807364693332612
1342225244,"V* AR Lac",42.67449601420207,"PACS70","70",0.0209078,0.0164838,1.80951,332.16983469306894,45.74240328275885
1342225383,"V* CF Tuc",87.95538902668567,"PACS70","70",0.00768162,0.00592632,1.53795,13.285323016376081,-74.65148850208324
1342225413,"HD 131976",5.925223677193814,"PACS70","70",0.0352712,0.0352712,-1.26946,224.36387943321898,-21.41694797323823
1342225491,"V* BK Psc",33.911639831255684,"PACS70","70",0.00140222,0.00140222,0.687773,9.927421797024145,10.653159636804796
1342231387,"* 19 LMi",28.8094771656084,"PACS70","70",0.0210921,0.0210921,-0.220394,149.42055238349695,41.055546790741346
1342231408,"HD 171802",38.81204104761461,"PACS70","70",0.0136172,0.0136172,-0.476753,279.1159667402024,9.122067588687253
1342231584,"V* DY Leo",44.038119396149305,"PACS70","70",0.00375567,0.00375567,0.0278199,147.45108061129372,11.106213128899523
1342231931,"HD 180445",43.24997621251308,"PACS70","70",0.0025459,0.0025459,2.16271,289.55309695868414,-38.38486934190644
1342232520,"* 42 Cap",35.23272979667192,"PACS70","70",0.0320997,0.0320997,3.86778,325.3864979107896,-14.048639645725961
1342233075,"V* BH CVn",46.14823736807373,"PACS70","70",0.0474458,0.0361926,5.04506,203.6995589589514,37.1823828747902
1342235408,"HD 203454",26.93268982159786,"PACS70","70",0.00935519,0.00935519,0.744289,320.25586039927873,40.34426071664632
1342236602,"HD 3405",44.40497335701599,"PACS70","70",0.00619778,0.00619778,0.341545,9.160212196891628,-49.13277296657551
1342237460,"* 29 Ari",28.68880677514861,"PACS70","70",0.0117722,0.0117722,0.622737,38.22552030523904,15.034699145513562
1342237848,"V* FF And",21.72321581797683,"PACS70","70",0.00375284,0.00375284,0.933535,10.702120638962233,35.54905436966712
1342238025,"V* EO Psc",23.39378286826493,"PACS70","70",0.0222937,0.00630997,7.12138,22.272062021372623,21.722549790787653
1342238095,"HD 8357",45.95862804303566,"PACS70","70",0.011841,0.00950433,0.275305,20.736806339864305,7.4200350936836665
1342239416,"V* AG Dor",34.18826795396892,"PACS70","70",0.00307847,0.00307847,0.0444666,61.87246375602672,-52.57224049847264
1342241422,"HD 183957",43.989108296785716,"PACS70","70",0.00248959,0.00248959,0.981567,292.90455107908406,11.723809122433464
1342242571,"HD 30957",37.60416353298637,"PACS70","70",0.00244885,0.00244885,1.156,74.1088548229871,64.40246364373982
1342242692,"HD 54371",25.194247649376695,"PACS70","70",0.0062242,0.0062242,2.14484,107.39698380531253,25.728051585669522
1342242703,"HD 60803",41.48947204646821,"PACS70","70",0.0135301,0.0135301,0.974709,114.14423187766587,5.862266198889564
1342243740,"HD 61994",29.11148826661465,"PACS70","70",0.00610452,0.00610452,0.0797324,116.87649236774931,70.20617397210371
1342247318,"V* AS Dra",43.00076541362436,"PACS70","70",0.0032293,0.0032293,1.42844,185.54341296378118,73.24912348304157
1342223909,"BD+20 307",119.98896101558657,"PACS70","70",0.029113,0.000918303,14.7962,28.709900863361597,21.306166966575105
1342233372,"UCAC2 10803089",5055.611729019211,"PACS70","70",0.028936,0.0000361535,26.904,122.57045690565789,-48.9414347000001
1342233374,"UCAC2 10803089",5055.611729019211,"PACS100","100",0.0159225,0.0000179045,29.4824,122.57045690565789,-48.9414347000001
1342237462,"BD+20 307",119.98896101558657,"PACS100","100",0.0105642,0.000453748,18.6801,28.709906645952742,21.306163822686262
1342225108,"GD 362",56.246133078350866,"PACS100","100",0.0000198164,0.000000211028,3.2165,262.8930845510827,37.08838329778965
1342250784,"HD 131835",133.65410318096764,"PACS70","70",0.655081,0.000871793,38.1756,224.22684691466762,-35.69554922979447
1342250868,"HD 131835",133.65410318096764,"PACS100","100",0.57481,0.000430198,38.5536,224.22684691466762,-35.69554922979447
1342265518,"CD-42 2906",88.86598121373157,"PACS70","70",0.000360712,0.000360712,0.397703,105.47246577500977,-42.46547236819746
1342265607,"CD-54 4320",41.633879986177554,"PACS70","70",0.00130467,0.00130467,1.36328,176.46510630335527,-55.34603664819499
1342267591,"CD-31 16041",49.61474153200399,"PACS70","70",0.00101038,0.00101038,0.822982,282.6854207015093,-31.796761222158395
1342267766,"CD-52 9381",34.05460997255199,"PACS70","70",0.00118558,0.00118558,0.78348,301.8495703360527,-51.79143458879294
1342269250,"CD-52 1363",134.04466368193883,"PACS70","70",0.00461008,0.000324676,4.86444,87.75489516034628,-52.636798560740374
1342269252,"HD 274561",102.37615045199071,"PACS70","70",0.000222863,0.000222863,2.45043,82.22967415398753,-45.582846575185016
1342269254,"HD 36329",72.46376811594203,"PACS70","70",0.0013959,0.0013959,0.482995,82.35053386553334,-34.51540003518469
1342269256,"CD-30 2310",67.00796054571283,"PACS70","70",0.000528384,0.000528384,1.79896,79.62119252643274,-30.025600691111112
1342269646,"HD 25402",52.00694812826993,"PACS70","70",0.00201131,0.00151145,2.97261,60.133605949772175,-41.74844081259306
1342269648,"CD-36 1785",87.76857182979919,"PACS70","70",0.000327552,0.000327552,2.2859,68.71173094598238,-35.789205315185164
1342269650,"BD-20 951",61.68574812475325,"PACS70","70",0.0142269,0.00104264,10.2892,73.2064850596778,-19.917193872220132
1342269652,"HD 32309",60.48252962131888,"PACS70","70",0.00768235,0.00768235,0.551851,75.35673162361863,-20.05197593777919
1342269654,"BD-19 1062",66.94112528031596,"PACS70","70",0.000592431,0.000592431,3.52431,74.88365957105682,-19.29496747925861
1342269656,"HD 48370",36.0719129656884,"PACS70","70",0.135393,0.0026353,34.847,100.75431995579893,-2.888962707397235
1342269658,"CD-43 3604",95.2662214558584,"PACS70","70",0.000520637,0.000520637,0.988889,117.20745787640548,-43.45144902333209
1342269660,"HD 51797",95.64893016671608,"PACS70","70",0.000662204,0.000662204,2.94622,104.09810669864153,-46.78189932074266
1342269662,"HD 35996",92.0700100356311,"PACS70","70",0.0018793,0.00105045,1.87338,81.60018026429736,-43.37570675740611
1342269664,"HD 32372",77.96723816652242,"PACS70","70",0.000666915,0.000666915,4.12701,75.2162686344143,-41.01849591703546
